"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Costa, G. B., Ramlov, F., Koerich, G., Navarro, B. B., Cabral, D., Rodrigues, E. R. O. et al., 2019. The effects of mining tailings in the physiology of benthic algae: Understanding the relation between mud’s inductive acidification and the heavy metal’s toxicity. Environmental and Experimental Botany 167:103818","doi:10.1016/j.envexpbot.2019.103818","","Not included","< 2 carbonate chemistry parameters","Brazil","2019"
"Couto, R. P., Neto, A. I., & Rodrigues, A. S., 2010. Metal concentration and structural changes in Corallina elongata (Corallinales, Rhodophyta) from hydrothermal vents. Marine Pollution Bulletin 60:509-514","doi:10.1016/j.marpolbul.2009.11.014","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2010"
"Crawfurd, K. J., Raven, J. A., Wheeler, G. L., Baxter, E. J., & Joint, I., 2011. The response of Thalassiosira pseudonana to long-term exposure to increased CO2 and decreased pH. PLoS ONE 6:e26695","doi:10.1371/journal.pone.0026695","","Not included","< 2 carbonate chemistry parameters","EU-UK","2011"
"Crummett, L. T., 2020. Acidification decreases microbial community diversity in the Salish Sea, a region with naturally high pCO2. PLoS One 15:e0241183","doi:10.1371/journal.pone.0241183","","Not included","< 2 carbonate chemistry parameters","USA","2020"
"Cruz Payán, M., Galan, B., Coz, A., Vandecasteele, C., & Viguri, J. R., 2012. Evaluation through column leaching tests of metal release from contaminated estuarine sediment subject to CO2 leakages from Carbon Capture and Storage sites. Environmental Pollution 171:174-184","doi:10.1016/j.envpol.2012.07.029","","Not included","< 2 carbonate chemistry parameters","EU-Spain","2012"
"Cruzeiro, C., Ramos, A., Loganimoce, E. M., Arenas, F., Rocha, E., & Cardoso, P. G., 2019. Genotoxic effects of combined multiple stressors on Gammarus locusta haemocytes: Interactions between temperature, pCO2 and the synthetic progestin levonorgestrel. Environmental Pollution 245:864-872","doi:10.1016/j.envpol.2018.11.070","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2019"
"Cullen, J. T., Lane, T. W., Morel, F. M. M., & Sherrell, R. M., 1999. Modulation of cadmium uptake in phytoplankton by seawater CO2 concentration. Nature 402:165-167","doi:10.1038/46007","","Not included","< 2 carbonate chemistry parameters","USA","1999"
"Cullen, J. T., & Sherrell, R. M., 2005. Effects of dissolved carbon dioxide, zinc, and manganese on the cadmium to phosphorus ratio in natural phytoplankton assemblages. Limnology and Oceanography 50:1193-1204","doi:10.4319/lo.2005.50.4.1193","","Not included","< 2 carbonate chemistry parameters","Canada","2005"
"da Motta Pacheco, L. F. C., Uribe, E., Pino, J., Troncoso, J., & Quiróz, A., 2014. The effect of UV light and CO2 in the production of polyunsaturated aldehydes in Skeletonema costatum (Bacillariophycea). American Journal of Plant Sciences 05:3632-3641","doi:10.4236/ajps.2014.524379","","Not included","< 2 carbonate chemistry parameters","Chile","2014"
"Dai, X., Zhang, J., Zeng, X., Huang, J., Lin, J., Lu, Y. et al., 2022. Adaptation of a marine diatom to ocean acidification increases its sensitivity to toxic metal exposure. Marine Pollution Bulletin 183:114056","doi:10.1016/j.marpolbul.2022.114056","","Not included","< 2 carbonate chemistry parameters","China","2022"
"Das, S., Ganeriwal, S., Mangwani, N., & Patel, B., 2015. Survival and expression of DNA repair genes in marine bacteria Pseudomonas pseudoalcaligenes NP103 and P. aeruginosa N6P6 in response to environmental stressors. Microbiology 84:644-653","doi:10.1134/S0026261715050057","","Not included","< 2 carbonate chemistry parameters","India","2015"
"Das, S. K., Selvan, K. T., Noor, N. M., De, M., & Francis, D. S., 2023. Effects of dissolved carbon dioxide on growth and vertebral column of hybrid marine grouper (Epinephelus fuscoguttatus × E. lanceolatus) early advanced larvae. Journal of Sea Research 193:102381","doi:10.1016/j.seares.2023.102381","","Not included","< 2 carbonate chemistry parameters","Malaysia","2023"
"Dashfield, S. L., Somerfield, P. J., Widdicombe, S., Austen, M. C., & Nimmo, M., 2008. Impacts of ocean acidification and burrowing urchins on within-sediment pH profiles and subtidal nematode communities. Journal of Experimental Marine Biology and Ecology 365:46-52","doi:10.1016/j.jembe.2008.07.039","","Not included","< 2 carbonate chemistry parameters","EU-UK","2008"
"de los Santos, C. B., Godbold, J. A., & Solan, M., 2017. Short-term growth and biomechanical responses of the temperate seagrass Cymodocea nodosa to CO2 enrichment. Marine Ecology Progress Series 572:91-102","doi:10.3354/meps12153","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2017"
"de Moel, H., Ganssen, G. M., Peeters, F. J. C., Jung, S. J. A., Brummer, G. J. A., Kroon, D. et al., 2009. Planktic foraminiferal shell thinning in the Arabian Sea due to anthropogenic ocean acidification? Biogeosciences 6:1917-1925","doi:10.5194/bg-6-1917-2009","","Not included","< 2 carbonate chemistry parameters","EU-The Netherlands","2009"
"De Wit, P., & Palumbi, S. R., 2013. Transcriptome-wide polymorphisms of red abalone (Haliotis rufescens) reveal patterns of gene flow and local adaptation. Molecular Ecology 22:2884-2897","doi:10.1111/mec.12081","","Not included","< 2 carbonate chemistry parameters","USA","2013"
"De’ath, G., Lough, J. M., & Fabricius, K. E., 2009. Declining coral calcification on the Great Barrier Reef. Science 323:116-119","doi:10.1126/science.1165283","","Not included","< 2 carbonate chemistry parameters","Australia","2009"
"DeCarlo, T. M., Comeau, S., Cornwall, C. E., & McCulloch, M. T., 2018. Coral resistance to ocean acidification linked to increased calcium at the site of calcification. Proceedings of the Royal Society B: Biological Sciences 285:20180564","doi:10.1098/rspb.2018.0564","","Not included","< 2 carbonate chemistry parameters","Australia","2018"
"DeCarlo, T. M., Ross, C. L., & McCulloch, M. T., 2019. Diurnal cycles of coral calcifying fluid aragonite saturation state. Marine Biology 166:28","doi:10.1007/s00227-019-3468-6","","Not included","< 2 carbonate chemistry parameters","Australia","2019"
"Deconinck, A., & Willett, C. S., 2022. Hypoxia tolerance, but not low pH tolerance, is associated with a latitudinal cline across populations of Tigriopus californicus. PLoS One 17:e0276635","doi:10.1371/journal.pone.0276635","","Not included","< 2 carbonate chemistry parameters","USA","2022"
"Deigweiher, K., Hirse, T., Bock, C., Lucassen, M., & Pörtner, H.-O., 2010. Hypercapnia induced shifts in gill energy budgets of Antarctic notothenioids. Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology 180:347-359","doi:10.1007/s00360-009-0413-x","","Not included","< 2 carbonate chemistry parameters","EU-Germany","2010"
"Delgadillo-Nuño, M. A., Liñán-Cabello, M. A., Reyes-Gómez, J., & Soriano-Santiago, O., 2014. Response to pH stress in the reef-building coral Pocillopora capitata (Anthozoa: Scleractinia). Revista de biología marina y oceanografía 49:449-459","doi:10.4067/S0718-19572014000300004","","Not included","< 2 carbonate chemistry parameters","Mexico","2014"
"deMayo, J. A., Girod, A., Sasaki, M. C., & Dam, H. G., 2021. Adaptation to simultaneous warming and acidification carries a thermal tolerance cost in a marine copepod. Biology Letters 17:20210071","doi:10.1098/rsbl.2021.0071","","Not included","< 2 carbonate chemistry parameters","USA","2021"
"Di Bella, L., Conte, A. M., Conti, A., Esposito, V., Gaglioti, M., Ingrassia, M. et al., 2022. Potential resilience to ocean acidification of benthic foraminifers living in Posidonia oceanica meadows: the case of the shallow venting site of Panarea. Geosciences 12:184","doi:10.3390/geosciences12050184","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2022"
"Dias, M., Paula, J. R., Pousão-Ferreira, P., Casal, S., Cruz, R., Cunha, S. C. et al., 2023. Combined effects of climate change and BDE-209 dietary exposure on the behavioural response of the white seabream, Diplodus sargus. Science of the Total Environment 881:163400","doi:10.1016/j.scitotenv.2023.163400","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2023"
"Dijkstra, J. A., Westerman, E. L., & Harris, L. G., 2011. The effects of climate change on species composition, succession and phenology: a case study. Global Change Biology 17:2360-2369","doi:10.1111/j.1365-2486.2010.02371.x","","Not included","< 2 carbonate chemistry parameters","USA","2011"
"Dionísio, G., Cruz, S., Serôdio, J., Calado, R., & Rosa, R., 2015. Ocean acidification promotes cellular burst on photosynthetic (kleptoplastic) sea slugs. Microscopy & Microanalysis 21:32-33","doi:10.1017/S143192761401383X","","Not included","< 2 carbonate chemistry parameters","EU-Portugal","2015"
"Dixson, D. L., Munday, P. L., & Jones, G. P., 2010. Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues. Ecology Letters 13:68-75","doi:10.1111/j.1461-0248.2009.01400.x","","Not included","< 2 carbonate chemistry parameters","Australia","2010"
"Dojiri, S. S., & Dojiri, M., 2014. The effects of ocean acidification on the development and calcification of the larval shells of the red abalone Haliotis rufescens Swainson, 1822. Journal of Emerging Investigators","doi:no DOI","","Not included","< 2 carbonate chemistry parameters","USA","2014"
"Dong, F., Wang, P., Qian, W., Tang, X., Zhu, X., Wang, Z. et al., 2019. Mitigation effects of CO2-driven ocean acidification on Cd toxicity to the marine diatom Skeletonema costatum. Environmental Pollution 259:113850","doi:10.1016/j.envpol.2019.113850","","Not included","< 2 carbonate chemistry parameters","China","2019"
"Dong, F., Zhu, X., Qian, W., Wang, P., & Wang, J., 2020. Combined effects of CO2-driven ocean acidification and Cd stress in the marine environment: enhanced tolerance of Phaeodactylum tricornutum to Cd exposure. Marine Pollution Bulletin 150:110594","doi:10.1016/j.marpolbul.2019.110594","","Not included","< 2 carbonate chemistry parameters","China","2020"
"Dong, S., Lei, Y., Li, T., & Jian, Z., 2019. Changing structure of benthic foraminiferal communities due to declining pH: results from laboratory culture experiments. Science China Earth Sciences 62:1151-1166","doi:10.1007/s11430-018-9321-6","","Not included","< 2 carbonate chemistry parameters","China","2019"
"Dong, S., Lei, Y., Li, T., & Jian, Z., 2020. Response of benthic foraminifera to pH changes: community structure and morphological transformation studies from a microcosm experiment. Marine Micropaleontology 156:101819","doi:10.1016/j.marmicro.2019.101819","","Not included","< 2 carbonate chemistry parameters","China","2020"
"Donnarumma, L., Appolloni, L., Chianese, E., Bruno, R., Baldrighi, E., Guglielmo, R. et al., 2019. Environmental and benthic community patterns of the shallow hydrothermal area of Secca delle Fumose (Baia, Naples, Italy). Frontiers in Marine Science 6:685","doi:10.3389/fmars.2019.00685","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2019"
"Donnarumma, L., Lombardi, C., Cocito, S., & Gambi, M. C., 2014. Settlement pattern of Posidonia oceanica epibionts along a gradient of ocean acidification: an approach with mimics. Mediterranean Marine Science 15","doi:10.12681/mms.677","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2014"
"Dove, M. C., & Sammut, J., 2013. Acid sulfate soil induced acidification of estuarine areas used for the production of Sydney Rock oysters, Saccostrea glomerata. Journal of Water Resource and Protection 5:320-335","doi:10.4236/jwarp.2013.53A033","","Not included","< 2 carbonate chemistry parameters","Australia","2013"
"Duckworth, A. R., & Peterson, B. J., 2013. Effects of seawater temperature and pH on the boring rates of the sponge Cliona celata in scallop shells. Marine Biology 160:27-35","doi:10.1007/s00227-012-2053-z","","Not included","< 2 carbonate chemistry parameters","USA","2013"
"Duckworth, A. R., West, L., Vansach, T., Stubler, A., & Hardt, M., 2012. Effects of water temperature and pH on growth and metabolite biosynthesis of coral reef sponges. Marine Ecology Progress Series 462:67-77","doi:10.3354/meps09853","","Not included","< 2 carbonate chemistry parameters","USA","2012"
"Eads, A. R., Kennington, W. J., & Evans, J. P., 2016. Interactive effects of ocean warming and acidification on sperm motility and fertilization in the mussel Mytilus galloprovincialis. Marine Ecology Progress Series 562:101-111","doi:10.3354/meps11944","","Not included","< 2 carbonate chemistry parameters","Australia","2016"
"Elena, B., Erik, C., Monica, B., Martina, P., Nuria, T., Matteo, S. et al., 2020. Patterns in microbiome composition differ with ocean acidification in anatomic compartments of the Mediterranean coral Astroides calycularis living at CO2 vents. Science of the Total Environment 724:138048","doi:10.1016/j.scitotenv.2020.138048","","Not included","< 2 carbonate chemistry parameters","EU-Italy","2020"
"Elling, F. J., Könneke, M., Mußmann, M., Greve, A., & Hinrichs, K.-U., 2015. Influence of temperature, pH, and salinity on membrane lipid composition and TEX86 of marine planktonic thaumarchaeal isolates. Geochimica et Cosmochimica Acta 171:238-255","doi:10.1016/j.gca.2015.09.004","","Not included","< 2 carbonate chemistry parameters","EU-Germany","2015"
"Emanuel, M. P., Pillay, D., van der Merwe, M., & Branch, G. M., 2020. Interactive effects of pH and temperature on native and alien mussels from the west coast of South Africa. African Journal of Marine Science 42:1-12","doi:10.2989/1814232x.2019.1699162","","Not included","< 2 carbonate chemistry parameters","South Africa","2020"
"Engel, B. E., Hallock, P., Price, R. E., & Pichler, T., 2015. Shell dissolution in larger benthic foraminifers exposed to pH and temperature extremes: results from an in situ experiment. The Journal of Foraminiferal Research 45:190-203","doi:10.2113/gsjfr.45.2.190","","Not included","< 2 carbonate chemistry parameters","USA","2015"
"Ertl, N. G., O’Connor, W. A., Wiegand, A. N., & Elizur, A., 2016. Molecular analysis of the Sydney rock oyster (Saccostrea glomerata) CO2 stress response. Climate Change Responses 3:228","doi:10.1186/s40665-016-0019-y","","Not included","< 2 carbonate chemistry parameters","Australia","2016"
"Fadler, D., Fontao, A., Verduzco-Villanueva, X., & Zhang, X., 2022. Mastocarpus papillatus and Porphyra lanceolata differ in stress-induced bleaching depending on morphological factors. California Ecology and Conservation Research 6:1-10","doi:10.21973/N34M3W","","Not included","< 2 carbonate chemistry parameters","USA","2022"
"Farag, M. A., Meyer, A., Ali, S. E., Salem, M. A., Giavalisco, P., Westphal, H. et al., 2018. A comparative metabolomics approach detects stress-specific responses during coral bleaching in soft corals. Journal of Proteome Research 17:2060-2071","doi:10.1021/acs.jproteome.7b00929","","Not included","< 2 carbonate chemistry parameters","Egypt","2018"
